"0.8-1.5,10",招若干人,无工作经验,机械设计工程师（日企）,上海
"5-6,1",中专,2年经验,机械检验员,上海
"0.4-1.2,10",大专,2年经验,机械设计工程师,上海-闵行区
"4.5-6,1",招2人,5-7年经验,印刷后道机械设备主管,上海-闵行区
"0.6-1,10",本科,无工作经验,机械工程师,上海-浦东新区
"3.5-5,1",初中及以下,无工作经验,机械装配实习生,上海
"0.8-1,10",本科,无工作经验,机械工程师,上海-浦东新区
"2-2.5,10",招20人,无工作经验,急聘/机械/电气/通信/医学/写手,上海-黄浦区
"1-1.5,10",大专,10年以上经验,机械工程师,上海-静安区
"3-4,10",本科,10年以上经验,机械安全防护咨询与培训师,上海-闵行区
"5-8,1",本科,无工作经验,机械工程师,上海-闵行区
"6-8,1",大专,2年经验,机械结构工程师(塑胶模具）,上海-松江区
"6-8,1",本科,2年经验,机械设计工程师,上海-浦东新区
"6-8,0.8",本科,无工作经验,机械仿真软件技术支持,上海-浦东新区
"0.7-1.2,10",大专,1年经验,机械设计工程师,上海-闵行区
"4.5-6,1",本科,无工作经验,机械装配工技术员,上海-嘉定区
"6-8,1",本科,2年经验,机械工程师(职位编号：CN311058),上海-闵行区
"6-8,1",招若干人,无工作经验,机械设计工程师,上海-普陀区
"1-1.5,10",本科,3-4年经验,机械工程师,上海-浦东新区
"0.8-1,10",大专,无工作经验,机械工程师有C语言基础优先,上海-静安区
"0.8-1,10",大专,3-4年经验,资深应用工程师（机械类）,上海
"6-8,1",招2人,无工作经验,机械设计工程师,上海-浦东新区
"5-7,1",中专,2年经验,CAD机械制图,上海-浦东新区
"6-8,1",招5人,无工作经验,ABB机械手技术员,上海-松江区
"4.5-6,1",中专,5-7年经验,电气工程师、机械工程师、设备工程师,上海-闵行区
"5-8,1",本科,无工作经验,2019年土木机械类毕业生招聘,上海-松江区
"1-1.5,10",大专,3-4年经验,机械工程师,上海-松江区
"1-1.5,10",招若干人,3-4年经验,机械工程师-白车身设备设计,上海
"1.5-2.5,10",本科,2年经验,高级机械工程师/机械开发主管,上海-嘉定区
"1-1.5,10",招2人,无工作经验,机械工程师,上海-松江区
"1-1.5,10",本科,5-7年经验,机械设计工程师,上海-青浦区
"0.8-1,10",本科,无工作经验,机械工程师,上海-浦东新区
"0.6-1.5,10",大专,3-4年经验,机械工程师,上海-浦东新区
"1-1.5,10",本科,3-4年经验,SourcingSpecialist--机械类采购员,上海-黄浦区
"0.4-1,10",大专,1年经验,售后机械维修工程师,上海
"2-3,10",本科,5-7年经验,机械设计工程师,上海-静安区
"0.5-1,10",本科,2年经验,机械工程师,上海
"0.6-1,10",中专,5-7年经验,机械设计工程师,上海-青浦区
"6-8,1",大专,1年经验,机械3D建模工程师,上海-徐汇区
"0.6-1.2,10",大专,10年以上经验,机械设计工程师,上海-嘉定区
"6-8,1",大专,2年经验,机械设计,上海
"0.6-1.2,10",本科,1年经验,机械环境测试工程师,上海-普陀区
"1-1.5,10",招1人,无工作经验,Creo二次开发/机械CAD开发工程师）,上海-嘉定区
"0.8-1.2,10",本科,5-7年经验,机械设计工程师,上海-宝山区
"0.7-1,10",本科,3-4年经验,食品机械设计工程师,上海
"1-1.5,10",本科,3-4年经验,机械工程师,上海-长宁区
"1-1.5,10",大专,5-7年经验,机械设计绘图(职位编号：3),上海-松江区
"0.7-1,10",大专,2年经验,CAD绘图机械绘图产品结构工程师,上海-青浦区
"4-8,1",招5人,1年经验,机械装配工,上海-嘉定区
"5-8,1",大专,3-4年经验,PE工程师/工艺工程师/机械制图员,上海-金山区
"6-8,1",招1人,无工作经验,机械工程师,上海
"0.5-1,10",大专,无工作经验,机械工程师,上海-嘉定区
"9-16,0.8",本科,1年经验,机械结构工程师,上海-嘉定区
"4-7,1",大专,2年经验,生产计划PMC（机械模具行业）,上海-金山区
"0.5-1.2,10",本科,1年经验,机械设计工程师,上海-青浦区
"6-8,1",硕士,无工作经验,SimulationEngineer机械仿真工程师,上海
"4.5-6.5,1",大专,1年经验,机械设计工程师,上海-松江区
"6-8,0.8",大专,2年经验,机械技术工程师,上海-松江区
"4.5-8,1",大专,无工作经验,船舶轮机机械工程师,上海-闵行区
"3-4.5,1",大专,1年经验,机械制图,上海-青浦区
"15-20,0.8",本科,2年经验,机械工程师,上海-宝山区
"0.6-1,10",招3人,无工作经验,机械工程师,上海-嘉定区
"0.5-1,10",大专,3-4年经验,机械工程师,上海-松江区
"0.8-1,10",大专,2年经验,机械设计工程师(职位编号：20181213-hekmfj-sh-002),上海
"0.8-1.2,10",本科,3-4年经验,机械工程师,上海-浦东新区
"1-1.5,10",招2人,无工作经验,机械工程师,上海-青浦区
"0.8-1.5,10",本科,2年经验,机械工程师,上海-浦东新区
"0.8-1,10",大专,2年经验,机械工程师,上海-浦东新区
"6-8,1",大专,2年经验,机械工程师,上海-嘉定区
"10-18,0.8",本科,3-4年经验,机械工程师-空调压缩机,上海
"1-1.5,10",本科,1年经验,维修工程师/设备工程师/机械工程师,上海-松江区
"1-1.5,10",招若干人,无工作经验,自动化机械工程师,上海-奉贤区
"0.8-1.6,10",本科,2年经验,机械工程师、燃烧产品研发工程师,上海
"4.5-6,1",大专,无工作经验,机械绘图,上海
"10-15,0.8",大专,2年经验,机械设备造型设计师,上海-黄浦区
"4-6,1",中专,2年经验,舞台机械师,上海-浦东新区
"1.3-2.5,10",大专,3-4年经验,供应商开发工程师（机械专业）,上海-嘉定区
"0.8-1,10",本科,3-4年经验,机械工程师,上海-松江区
"0.8-1,10",大专,无工作经验,机械工程师,上海
"6-8,1",大专,1年经验,机械设计,上海-奉贤区
"4.5-6,1",招1人,无工作经验,机械绘图员,上海-普陀区
"4.5-6,1",本科,无工作经验,机械绘图员,上海-嘉定区
"6-9,1",本科,2年经验,（真空）机械设计工程师,上海-嘉定区
"0.5-1,10",本科,2年经验,机械技术工程师,上海-闵行区
"0.8-1,10",大专,1年经验,销售工程师（机械自动化、仪器仪表）,上海
"0.8-1.6,10",大专,3-4年经验,（超紧急）机械设备销售担当应届生可ID:6408,上海
"0.8-1.6,10",大专,3-4年经验,机械设计师(职位编号：006),上海-青浦区
"3-4.5,1",招5人,无工作经验,机械装配学徒工,上海-金山区
"4.5-6,1",大专,无工作经验,机械设计工程师,上海
